zone_id,id,creature_template_id,override_script,x,y,x_offset,y_offset,flags,extraitems,start_attitude,personality
0,0,65,z0mehken,13,23,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,1,50,z0servile,25,31,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,2,50,z0servile,27,31,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,3,50,z0servile,26,29,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,4,50,z0servile,24,29,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,5,107,z0bug,29,24,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,6,107,z0bug,30,25,128,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,7,107,z0bug,29,21,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,8,107,z0bug,31,21,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,9,107,z0bug,28,18,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,10,107,z0bug,31,18,128,0,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,11,107,z0bug,28,16,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,12,107,z0bug,31,16,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,13,107,z0bug,30,13,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,14,107,z0bug,31,13,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,15,107,z0bug,30,10,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,16,107,z0bug,31,10,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,17,107,z0bug,31,8,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,18,107,z0bug,30,8,64,64,"[0, 0, 10, 2, 1, 0, 0, 0, 0]",[],3,65535
0,19,152,z0thrasher,30,7,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,20,80,mobhunter,47,36,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,21,80,mobhunter,46,38,0,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,22,80,mobhunter,47,41,128,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,23,80,mobhunter,46,44,128,128,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,24,80,mobhunter,45,46,128,128,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,25,80,mobhunter,44,49,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,26,81,mobhunter,41,49,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,27,85,mobhunter,40,49,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,28,12,,56,19,64,64,"[1, 0, 0, 100, 0, 0, 0, 0, 0]",[],3,2
0,29,32,z0artila,40,28,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,30,72,,37,49,64,64,"[1, 0, 0, 17, 0, 0, 0, 0, 0]",[],3,65535
0,31,107,,57,59,128,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,32,107,,55,57,128,128,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,33,107,,59,57,128,128,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,34,107,mobhunter,42,56,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,35,107,mobhunter,40,60,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,36,107,mobhunter,40,56,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,37,107,mobhunter,36,60,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,38,107,mobhunter,36,56,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,39,107,mobhunter,34,60,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,40,107,mobhunter,38,60,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,41,107,mobhunter,38,56,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,42,98,z0vlish,12,45,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,43,107,mobhunter,12,38,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,44,107,mobhunter,7,50,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,45,80,mobhunter,9,52,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,46,80,mobhunter,6,44,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,47,107,mobhunter,6,48,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,48,85,mobhunter,7,41,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,49,85,mobhunter,9,40,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,50,12,mobhunter,8,45,64,64,"[1, 11, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
0,51,1,mobnull,13,54,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
0,52,80,,41,47,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,53,80,,44,45,0,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,54,80,,45,51,0,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,55,80,,42,51,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,56,80,,47,44,64,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,57,81,,45,48,128,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,58,81,,46,42,128,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,59,85,,12,34,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,60,85,,12,28,128,128,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,61,85,,18,28,128,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,62,85,,17,33,0,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,63,85,,20,30,128,128,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,64,86,,14,26,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,65,86,,16,30,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,66,12,,29,18,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[119, 100]",4,65535
0,67,12,,33,13,0,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[37, 100]",4,65535
0,68,12,,39,15,0,128,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
0,69,12,,33,20,128,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,0,7,mobnull,39,30,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
1,1,131,mobnull,43,30,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
1,2,73,mobnull,41,30,64,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",[],3,65535
1,3,52,mobleadpc,18,25,64,64,"[40, 1, 9, 0, 41, 42, 0, 0, 0]",[],2,26
1,4,22,mobgroup,58,9,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,5,22,mobgroup,59,10,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,6,22,mobgroup,60,9,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,7,246,mobhunter,6,25,64,64,"[1, 7, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
1,8,246,mobhunter,6,17,64,64,"[1, 7, 0, 0, 0, 0, 0, 0, 0]",[],2,65535
1,9,246,,30,52,64,64,"[1, 0, 0, 7, 0, 0, 0, 0, 0]",[],2,65535
1,10,246,,35,43,64,64,"[1, 0, 0, 7, 0, 0, 0, 0, 0]",[],2,65535
1,11,102,mobgroup,2,56,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,12,102,mobgroup,3,56,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,13,102,mobgroup,4,56,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,14,102,mobgroup,5,56,64,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",[],4,65535
1,15,133,,50,57,64,64,"[1, 0, 0, 50, 0, 0, 0, 0, 0]",[],2,20
1,16,210,,27,58,64,64,"[1, 0, 0, 90, 0, 0, 0, 0, 0]",[],2,21
1,17,211,,5,40,64,64,"[0, 0, 0, 110, 0, 0, 0, 0, 0]",[],2,22
