zone_id,id,object_template_id,x,y,x_offset,y_offset,override_script,flags
0,0,77,40,5,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,1,82,40,1,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,2,155,40,2,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,3,196,40,1,64,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,4,190,40,22,128,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,5,105,40,6,0,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,6,119,40,6,64,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,7,119,40,7,0,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,8,221,40,14,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,9,79,40,14,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,10,71,40,18,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,11,153,40,17,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,12,153,40,17,128,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,13,153,40,17,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,14,155,40,15,128,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,15,155,40,15,128,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,16,76,40,1,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,17,208,40,16,128,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,18,208,40,13,128,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,19,208,40,18,128,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,20,83,40,21,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,21,125,40,12,0,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,22,127,40,12,128,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,23,3,40,7,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,24,33,40,58,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,25,70,40,6,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,26,125,40,22,0,64,,"[50, 0, 0, 25, 0, 0, 0, 0, 0]"
0,27,127,40,22,128,64,,"[50, 0, 0, 25, 0, 0, 0, 0, 0]"
0,28,26,40,14,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,29,200,40,13,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,30,50,40,37,0,64,,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
0,31,239,40,31,64,64,talkobj,"[4, 0, 0, 0, 0, 0, 0, 0, 0]"
0,32,239,40,17,64,64,talkobj,"[4, 0, 0, 0, 0, 0, 0, 0, 0]"
0,33,44,40,33,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,34,71,40,29,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,35,188,40,27,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,36,96,40,26,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,37,96,40,28,192,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,38,157,40,28,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,39,193,40,35,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,40,96,40,35,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,41,78,40,26,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,42,188,40,10,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,43,96,40,11,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,44,96,40,19,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,45,96,40,22,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,46,70,40,8,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,47,58,40,4,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,48,209,40,2,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,49,209,40,2,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,50,83,40,3,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,51,124,40,6,64,0,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,52,126,40,6,64,128,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,53,77,40,7,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,54,161,40,4,64,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,55,117,40,12,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,56,117,40,12,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,57,50,40,8,0,64,cntrldoor,"[0, 25, 0, 0, 0, 0, 0, 0, 0]"
0,58,190,40,8,128,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,59,61,40,7,192,0,,"[0, 0, 0, 25, 0, 0, 0, 0, 0]"
0,60,124,40,11,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,61,126,40,11,64,128,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,62,124,40,11,64,0,,"[3, 0, 0, 26, 0, 0, 0, 0, 0]"
0,63,126,40,11,64,128,,"[3, 0, 0, 26, 0, 0, 0, 0, 0]"
0,64,200,40,12,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,65,12,40,9,128,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,66,15,40,9,0,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,67,15,40,10,0,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,68,21,40,7,64,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,69,211,40,8,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,70,26,40,11,192,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,71,3,40,9,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,72,120,40,19,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,73,122,40,19,64,128,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,74,240,40,17,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,75,96,40,19,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,76,96,40,29,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,77,96,40,29,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,78,120,40,27,64,0,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,79,122,40,27,64,128,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,80,139,40,25,0,128,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,81,140,40,25,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,82,240,40,27,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,83,120,40,27,64,0,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,84,122,40,27,64,128,,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
0,85,44,40,28,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,86,52,40,40,64,0,cntrldoor,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,87,61,40,39,0,192,doorlever,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,88,64,40,38,64,64,talkobj,"[130, 0, 0, 0, 0, 0, 0, 0, 0]"
0,89,26,40,38,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,90,201,40,35,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,91,120,40,36,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,92,122,40,36,64,128,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,93,191,40,35,192,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,94,239,40,49,64,64,,"[0, 21, 0, 0, 0, 0, 0, 0, 0]"
0,95,167,40,40,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,96,220,40,43,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,97,78,40,36,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,98,70,40,37,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,99,71,40,49,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,100,71,40,48,192,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,101,138,40,55,64,0,z0vat,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,102,138,40,61,64,64,z0vat,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
0,103,138,40,55,64,0,z0vat,"[2, 0, 0, 0, 0, 0, 0, 0, 0]"
0,104,138,40,61,64,64,z0vat,"[3, 0, 0, 0, 0, 0, 0, 0, 0]"
0,105,138,40,55,64,0,z0vat,"[4, 0, 0, 0, 0, 0, 0, 0, 0]"
0,106,138,40,61,64,64,z0vat,"[5, 0, 0, 0, 0, 0, 0, 0, 0]"
0,107,138,40,61,64,64,z0vat,"[6, 0, 0, 0, 0, 0, 0, 0, 0]"
0,108,138,40,55,64,0,z0vat,"[7, 0, 0, 0, 0, 0, 0, 0, 0]"
0,109,74,40,55,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,110,3,40,56,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,111,7,40,60,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,112,53,40,52,64,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,113,96,40,48,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,114,96,40,42,0,192,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,115,138,40,36,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,116,138,40,36,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,117,138,40,36,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,118,138,40,36,64,64,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,119,209,40,35,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,120,209,40,35,0,0,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
